Unnamed: 0	Review	Sentiment
10	On 1-Oct-24 received a tweet from Mr.Mahesh stating that he has purchased Glanza last year and he had done ceramic coating on his vehicle and advisor had said that every six month the top coat will be done and after 5 months the shine was gone and guest had visited the dealership they have done the service and the shining had come back and again guest had facing the same issue and he has spoken with the dealership they said to come to the dealership and they will see and today also he spoke with the GM and he said that it wont come in warranty and guest has to pay for the ceramic coating and until then for top coating he has stopped and they will give 10% discount and guest is stating that he want the ceramic recoating to be done under warranty and guest is stating that the vehicle is in the dealership from past 12 days,guest wants the issue to be resolved ASAP.CLI:7030003327 [Aaqib TKM-GEC]	Unsatisfied
11	Nearest coding selected. Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference.	Highly Frustrated
12	On 01/10/2024 Mr wahid called and stated that he has gone to dealership to take the delivery of his vehicle today he found that the dealership facility is very bad, there is no AC no body asked for tea or water. 2. Dealer GM doesn't know about the vehicle and the delivery status, staff are not very much effective, so guest got a negative feedback,  *Call recording attached 	Highly Frustrated
13	On 01/10/2024 Out called Mr.Amit Yadav Feedback in Application Guest stated that he had given his vehicle for the service but when the vehicle was serviced at the dealership there was no proper update from the dealer how much time it will take for the service and also they didn't inform guest what work they are doing for the vehicle .Guest stated that over all the dealers was not responding to the guest . *Call recording attached 	Unsatisfied
14	Registered As per Amol San request on 1st oct , Mr. Prashant called and stated that he booked the vehicle on 27 AUG 2024 , and dealer committed that he will give the delivery on 12 oct 2024, now dealer was saying that alloy wheels were not available , the wrong order was placed for the alloy wheels , so dealer asked the guest to take the delivery of the vehicle without alloy wheels . Guest paid 10 lakh and dealer was forcing to pay the rest of the amount.	Highly Frustrated
15	"On 30-Sep-24 received an mail from Mr.Raghvendra upadhyay stated that It is been over 75 days since he took the delivery of his Car, he have been waiting for his RC. The people from showroom has been letting him wait. They do not even call him to update on delay rather they expect him to call them and get update. he is tired of calling them every now and then. he have left with only option to contact consumer court. Kindly intervene and resolve his issue on priority.kindly revert back asap, CLI:96430398480(Shravya TKMGEC)
"	Frustrated
16	Dcm SS attached Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference	Highly Frustrated
17	WBT SS ATTACHED [Informed as per WBT] happened informed guest as per WBT Update regarding the sq. no as guest is getting update as well as guest is very disappointed and stated that he wants his vehicle to be delivered by Oct 04th as there is Function and wants response at the earliest. Kindly do the needful CLI:8171546456[Vikas TKM-GEC] 	Frustrated
18	"Guest wants the help from Toyota and wants to know why the airbags didn't deploy at the time accident . guest waiting for a prompt response ASAP, cli:8589010621 [TKM CAC RAVI] On 01-Oct-24 we received a mail from Mr.ARUN KUMAR stated that he have been driving his car and he got into an accidednt but his concern is the airbag didn't deploy in his car , guest is too harassed and stated that ""GOD WAS WITH HIM , OR ELSE HE WOULD BE IN GRAVEYARD UNTIL NOW"" this happened last Tuesday and now the car is there at the dealership."	Unsatisfied
19	DCM Complaint Attached he is running to dealership but no proper resolution provided due to that he is very disappointed and now he want his issue to be resolved under warranty or else he is planning to burn the vehicle inside the dealership premises, waiting for a positive response. CLI: 7986068018 [ANKIT TKM GEC]	Highly Frustrated
20	W.R.T: TRQ0924015889. On 1st Oct received an E-mail/tweet from Mr. Chaitanya Choudhari spoken to Mrs. Khaitali stating that don't need the fake greetings. It's month now with no vehicle. She had already spent 50k for cabs and Self drive due to unavailability of the service parts. This is causing mental stress. Guest said if the parts are not received and if it will take more until that kindly provide a courtesy car to guest for day to dat activities. Guest is highly disappointed and need solution at the earliest with a positive response. Kindly do the needful. CLI: 9967558986 [Akshay/Aaqib TKM GEC].	Frustrated
21	*nearest coding selected. that i will cost around 100000Rs. Guest  said he gave the advance amount of 50000/rs to them to start the work and later again they called and said that now it will cost around 2,25,000Rs. Guest said there are saying that due to service was not done on time so only this issue was came. Guest said they blaming me only. Guest said even he don't know that they started the work or not. Guest said he wants his issue should get solve. Kindly do need fully. CLI:7012124231  [Indharjeeth TKM-GEC] 	Unsatisfied
22	"treating him , guest mentioned that he is literally frustrated over the dealer , guest wants the communication to be done over the calls also, guest waiting for a call back from the dealership ASAP,  Guest is disappointed and wants to know the tentative delivery date of the vehicle.cli:9876127270 [TKM CAC RAVI]
  WBT ATTACHED**"	Highly Frustrated
23	Nearest Coding Selected bad feedback on service Experience. Guest Need a resolution and also stated that Service Center is very far, and to visit again guest have to bare the expenses for it, and just for the chrome bar Handle he cant bare such amount, also for the Dealer's Poor Service. Guest need a response ASAP. Kindly do the needful. CLI: 8340745932 [Deepak/TKMGEC]	Frustrated
24	On 1st oct , Mr. Manuraj CP called and stated that he purchased the fortuner vehicle, he was trying to take the appointment for service of 40k km from 1 week but he was not getting the service appointment  , he call and dealer and dealer told that he would pick up the vehicle tomorrow but no one come from the dealership to pick the vehicle and there is no response from the dealership. Guest also stated that there was a clutch  *Call recording attached 	Frustrated
25	Nearest Coding Selected On 1st Oct Mr. Shubham called and stated that he is owning Hyryder vehicle and guest was facing issue with Air flow which comes out from Right side AC vent and when ever guest change modes to Windshield or Seat the air flow will be from side due to which guest contacted dealership during service but they told that is common with All the vehicle due to which guest was very disappointed, so kindly do the needful. Cli: 9560141712 [Fouzan TKMGEC]	Highly Frustrated
26	DCM. Selected nearest coding.	Frustrated
27	Nearest coding selected. Guest look forward to the prompt response to address his grievance. Guest is highly disappointed and need solution at the earliest with a positive response. Kindly look into the matter and do the needful ASAP. CLI: 9805516445 [Akshay TKM GEC].	Frustrated
28	" W.R.T - TRQ0924017676  On 01-10-24 Mr. VIPUL called and stated that he have raised a concern regarding which he did not get any update ,Guest vehicle as gone through a flood due to which the battery and mother board as been damaged and it has been more than 1 month still he did not received the vehicle, Guest wanted to know the update and want the vehicle to be delivered ASAP, Do the needs ASAP  Cli:9825538877 (Anu -TKMGEC) 
 DCM ss attached."	Unsatisfied
29	On 01th Oct 24 Mr. Raj Shekar called and stated that, He owns Innova Crysta vehicle  and his vehicle ran only 25000/km. Guest said in his vehicle All Tire got wear out in 20,000km. Guest said he gave all the tire to dealership to get claim 8 days ago  and now they inspecting the Tire and telling that it will take some time to get result until that pay and take the Tire. Guest  said he wants his issue should get resolve ASAP. Kindly do needful .CLI: 9880358087 [Indharjeeth TKM-GEC]	Unsatisfied
30	Dealer is not mapped as the concern is different Dealer complaint attached	Highly Frustrated
31	Dealer complaint attached. So to visit the service center each time he has to pay for it. Whenever they say to take the vehicle, for their ignorance, incompetency, carelessness why should guest visit often and often wasting precious time and fuel. Guest said he didn't ask for discount or didn't complain anything related to billed amount. Hence guest wanted a proper assistance regarding the concern from Toyota and don't want them to repeat the same thing and clear it. Kindly do the needful. CLI:9711846109 [Nivya TKM-GEC]	Frustrated
32	On 1st oct Mr Ashish pandey called and stated he had given his vehicle for B&P repair on Thursday and after giving his vehicle for repair there is no update he does not know even if his vehicle is there in the dealership or no and the Gm is disconnecting the call and other advisors are not answering the calls. Guest is getting notification from i connect team that there is some mihappening with  the car parts are taken out con called with hcr san told they have created the group on Saturday and sharing all the updates in it, after giving the approval they have started the work. san also connected Kailesh san as he was not answering the call san told he was busy so he was not able to answer the call and	Frustrated
33	Guest is in need of an immediate assistance. Kindly assist the guest and do the needful. (CLI: 9810420680 Joel [TKMGEC]) when he had not even visited the dealership and he contacted Mr. Rakesh from the dealership who told that that another vehicle had come for a service and his vehicle was entered the wrong details on pretext of service of Hyryder vehicle. Guest is extremely disappointed by the error caused and needs a prompt resolution with correction of details in Toyota Servers. Guest further wants a written apology from both Toyota and the dealer.	Frustrated
34	"*Call recording attached  or software to be replaced. The local service team is clueless on these issues. They just wash his car and give it back saying all issues are fixed. Guest is soo disappointed with it . guest want the issue to be resolved ASAP .Kindly look into the concern and do the needful. CLI:9952968290
  (Yashwanth TKM-GEC).

"	Highly Frustrated
35	On 30-Sep-24 received an mail from Mr.Sachin Kabra stated that he have given his vehicle for the service and he also mentioned that he is getting a noise in back wheel when vehicle taken in reverse direction, After the service they have charged 17K, in that labor charge is 7K,how this will be justified, also the issue is not been rectified.  After the delivery he have also told the dealer that he is getting a noise while taking the reverse so the dealer told him that return the vehicle again for a day they will rectify the issue, guest is very disappointed that after getting the bill of 17k on that 7k for the labor charge the issue also remain same now	Highly Frustrated
36	that the VIN number is not providing but the loan amount has been disbursed and there is no clear communication and guest stated that the amount to be refunded to finance and she look after the vehicle and she will proceed further and guest stated the behavior of sales manager also rude after this and Guest is totally disappointed and guest is waiting for the positive response and kindly revert back asap and do needful, CLI:9836269969 (Gowri Sankar TKMGEC) that go and do complaint to whom ever she want and there won't be any redressal before 20-25 days and guest stated that if the EMI is due then it will be deducted from her bank even if the car is remained undelivered from their end and Hence guest is now under the feeling of fear that they will cause some harm to her vehicle or the process or the timelines, guest request Toyota to intervene and refund full amount and also guest also informed 	Frustrated
37	DCMss even they have order the part and they are waiting for that . Guest said he is very disappointed with them and he wants his issue should get resolve ASAP. Kindly do need fully. CLI:8160195687  [Indharjeeth TKM-GEC] 	Frustrated
38	Nearest coding selected *** CLI. 9586555562 [ Nitisha /TKM GEC]  	Frustrated
39	" Kindly do the needful.   CLI. 9663315013 [ Nitisha /TKM GEC]  
 On 1st oct , Mr. GANGADHAR called and stated that the battery of his vehicle is not not getting start. Only in 1 year the battery issue  is coming. Guest stated that RSA team start the vehicle then, when guest reached to the dealership in 1 hr then battery works properly, then dealer told that battery is fine, but after sometime the same issue raised. It is happening 3,4 times in the month. Guest vehicle in in warranty."	Unsatisfied
40	W.R.T> TCM0824224056 : On 01-Oct-24 received an mail from Dr. Aman Gupta stated that he owns an Urban Cruiser AT bearing vehicle number MP09WG3138 and he is repeated facing the issue of battery dead and guest stated that the recent problems started from roughly 3months when Auto-stop function of the car stop working as per advice of the service engineer guest got replaced battery with new one but the problem continued and one fine  morning battery got completely discharged with car stuck in parking and this occurred 3 times in last 4 months and guest stated that in 4years 3batteries have been replaced all of Exide brand and almost 5 times charged and this problem of non functioning auto-stop function and battery discharge started from 6months after purchase and the guest stated that the vehicle is under warranty and extended warranty and guest asking 	Frustrated
41	*** Guest is non-contactable, hence we have registered the complaint based on the concern shared on an e-mail. Attached e-mail for reference  *** *** DCM screenshot has been attached for reference ***	Highly Frustrated
42	*Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference  WRT TCM0824250812 On 1-Oct-24 received a tweet from Mr.Somil stating that he has registered a complaint, and guest is stating that he has got a response from them stating that he received a call from Dealership 1 week back, they are giving him a discount of 100% on labour charges of next servicing. he has rejected this proposal he want his camera Guest is disappointed with the dealership service and wants his camera back, guest wants the issue to be resolved ASAP.CLI:8126511761 [Aaqib TKM-GEC]	Highly Frustrated
43	On 01/10/2024 Out called Mr. Dev Feedback in application, Guest stated that the DVR got installed during delivery and the affixation was done very badly. Guest said they used fevi kwick due to this there is very ugly looking marks and scratches on both front and rear glass. During first service guest asked them to clean it and they have done it but while cleaning they have used some chemicals which has left some marks on both the sides. So guest is saying it was not a clean installation and a bad workmanship. Guest also stated the rain visor which has been fitted but its not properly fixed, the plastic sheets are not properly removed. Guest said he wanted a clean installment and he have paid for the accessories but disappointed with the workmanship. Guest said while purchasing the vehicle he had taken smile plus package but till now it has not activated and the proper invoice of smile plus is not provided.	Highly Frustrated
44	DCM Attached** If these type of services will be provided guest won't buy any Toyota products and will send his car to local service providers. Guest is highly disappointed and need action at the earliest with a positive response. Kindly look into the matter and do the needful ASAP. CLI: 9811011198 [Akshay TKM GEC].	Frustrated
45	"[WRT-TCM0824248646]On 01-Oct-24 we received a mail from Mr.Karan Sood stated that he have booked Innova Hycross VX(O) and at time of booking waiting period confirmed to be was 24-28 weeks, Same was shown on the month Status received from the dealership and now its more than 30 weeks over but the status remains at 24-28weeks, but there is no confirmation on the delivery date of the vehicle.  Guest tried contacting the dealership team but no one is responding. Booking details are: Name - Balraj Wheels Pvt Ltd, Booking Order No- ORD240000139,	Model: Hycross Hybrid VX(O) seater Colour - Blackish Ageha, Booking Date - 26/2/2024, Waiting period confirmed - 24 weeks. Guest also said his waiting weeks is not reducing from the date of booking. Kindly confirm the delivery status on priority. Guest is highly disappointed and need his car delivery at"	Unsatisfied
46	 W.R.T. TRQ0924016003  On 1st oct , Mr. Nishant called and stated that he can not wait for 2 months , it is the customer harassment. He was very disappointed from the toyota . He wants the tracking id of the part, invoice of the part , ETA sheet proof 30 aug, 24 sep, 5 oct in the mail. Guest stated that part is taking to much time. If it is happening due to red sea crisis then the booking of the vehicle should be stopped . He  wants to know the dispatch of the parts , he need the information of the part. He wants the information by 3pm to 4 pm today. He will go i the consumer court. Kindly do the needful.  CLI. 9999932996 [ Nitisha /TKM GEC]  	Frustrated
47	"**DCM SS Attached** On 01/10/2024 Mr Kashmir called and stated that to he provided his vehicle for service at 10.30am 4.35pm and guest was waiting their but nobody asked for tea or water and guest need to take that outside, guest paid 20k for service but need to take tea outside guest stated that Mr Rahul the SA who asked Rs 500 to do the service early, guest is very disappointed with the service and the atmosphere of dealer. Kindly do the needful. Cli: 8689000300 (tkmgec Animesh)
"	Frustrated
48	dcm attached** guest and his father on whose name the car is registered , decided to cancel the car , they cancelled it and then it took 2months to refund the amount , that to after registering a complaint only they refunded the amount. guest at that point had a talk to dealership and they mentioned that they will give him a apology letter on wat all happened , but till date it never happened , guest waiting for a prompt response and want this issue to be resolved ASAP, cli:8000007327/9328807327 [TKM CAC RAVI]	Highly Frustrated
49	the vehicle to diagnose, his boy went to the dealership and click the photo that no one is giving service to the guest's vehicle. Guest stated that he will go to the dealership and burn the vehicle, and post it in social media. Kindly do the needful.CLI. 9811165822 [ Nitisha /TKM GEC]  On 1st oct , Mr. Ashok called and stated that he has hyryder vehicle and his vehicle was stopped suddenly. The vehicle is in Galaxy Toyota  dealership but there is no response from the dealer, no one is checking the vehicle. Guest was very irate call connected to the HCR  Ms. Suman San 9311408632. HCR stated that diagnose is going on , after checking she will inform the guest.  Guest stated that no one is checking 	Unsatisfied
50	DCM SS management and take a call accordingly. It was already 4 days has been passed away but no action from the dealer taken to resolve this issue and currently he is not picking his phone. Kindly resolve this issue on higher priorities. kindly do the needful.CLI:9953861368 [Aaqib TKMGEC]	Unsatisfied
51	On 01-10-24 Ms. NAVNEETH called and stated that her grandfather Mr. SATYANARAYANA owns Glanza, She mentioned that unfortunately he lost both the car key ,Guest has have been already spent almost 1 month for all the procedure legally, and now dealership is saying that it will take more 3 days to repair the vehicle as they were not able to adjust the the lock system, Guest said that she have already given the vehicle 3 days before, Now the dealership is saying that it will take more 3 days ,Which she did not want to wait, She need the vehicle ASAP, Do the needs ASAP  Cil: 8096022942 (Anu -TKMGEC)	Frustrated
52	"Guest is non-contactable, hence we have registered the complaint based on the concern shared on an e-mail. Attached e-mail for reference provide a proper solution along with supporting evidence and Guest is totally disappointed and guest is waiting for the positive response and kindly revert back asap and do needful, CLI:9786966512(Gowri Sankar TKMGEC)
"	Frustrated
53	 On 1st oct , Mr. Venu Gopal called and stated that he replaced the wheel bearing assembly  on the 18/04/2022 but now he was facing the same issue .Guest stated that this part is need to be changed after every 80k-90k km driven vehicle ,but  guest hardly drive the vehicle 40k km after changing the wheel bearing assembly and again this problem is occur with the same wheel.it has to be a good part but how it can be collapse.  Guest is usually upset because he paid a big amount to change the wheel bearing assembly  . And he can not afford that much money again. Kindly do the needful.  CLI. 8606580717 [ Nitisha /TKM GEC]  	Unsatisfied
54	"DCM SS  complaint to TKM. Guest need a immediate Response on it. Kindly do the needful. CLI: 9811983005 / 9811860703 [Deepak/TKMGEC]
"	Unsatisfied
55	On 30th of Sep Mr. Siri Called us and stated he owns a Crysta vehicle and there was a Bent on the Alloy Wheel, and visited dealership on 18th of Sep, but the work wasn't done on the same day, again visited 19th of Sep, and Dealer requested to visit after 4 days, and from 22nd of Sep to till date its been 8 days and yet they didn't repaired his alloy wheel. Claims are all done, and guest always have to take follow up from his side, they never called him, now they are saying that guest *Call recording attached 	Frustrated
56	On 02-Oct-24 we received a mail from Mr.BindeshwarSingh stated that he have booked a 2.4g 8s innova crysta for commercial purpose , all payment has cleared now they give the car for registration they are charging him 4500-5000 for registration of fancy no. In which they are telling that they will give him a 3000Rs receipt only and other 1500 they did not give any receipt of  this. Guest stated that he have given many reference to dealer also for the car purchases also, guest also mentioned that he is a loyal customer of Toyota , guest waiting for a prompt response ASAP, cli:8777027675 / 9903943747 [TKM CAC RAVI]	Unsatisfied
57	On 2nd Oct received an E-mail from Mr. Sherin Sasidharan stating that this is regarding a concern of rat entering inside cabin which should not have been the case. Guest vehicle is purchased from Nandi Toyota Banaswadi during October 2023 time frame. If more details are required guest can provide. What he suspect is the improper sealing of the cabin from outside or something like that occured. A rat detected inside the cabin and during the night it was visible to be roaming over the dash board. On 1st of October 2024. And the AC also smells like a nest furr smell. ( not the smell of dead animal). For few days an odd smell not the dead animal sort of smell but the animal furr kind of smell was observed. Yesterday evening 1st oct 2024 around 8 pm the intruder alarm kicked in two times and later observed there is rat inside the cabin.	Frustrated
58	On 2nd Oct received an E-mail from Mr. Gulzar Ahmed stating that he have purchased a Hyryder top model from Uttam Toyota Noida sector 63 Uttar Pradesh through Mr Jai veer one of their sales team leader on 15th sept 2024 at around 7:30 pm when it is almost dark (according to them it happened as they had more deliveries to give that day). On 17th or 18th Sept he went for accessories installation at the showroom and got them put on.  And on 20th Sept guest went to a tyre shop to get his tyres changed to Michelin tyres (guest bought 2 Toyota cars recently from same showroom and got their tyres also changed and guest always do for all his cars). On reaching the tyre shop when he opened the tyre guest found one of his tyre was punctured repaired already, Surprisingly the tyre was PUNCTURED REPAIRED from the inner part which cannot be Visible from ouside untill it's opened.	Unsatisfied
59	got refund amount as guest is very disappointed and stated that he wants refund amount at the earliest and even wants response via mail[sdarimadugu@gmail.com] as he is in US. Kindly assist the guest and do their needful CLI:5126767924/9347441016[Vikas TKM-GEC]   On 02/10/24 Mr. SUDHAKAR called and stated that he booked FORTUNER Vehicle and later on 25th July guest informed dealership for the cancellation of booking and on 05th Aug guest sent a mail with all the documents for the cancellation but still now guest didn't got refund amount as whenever guest tries to contact the dealership they used to ask the documents as Aadhar Card, Pan card, Bank Details and they used to informed that they will let them know but it's been more a month as guest didn't	Frustrated
60	"**WRT TCM0824233418** On 02/10/2024 Mr Dinesh called and stated that he changed his vehicle boot after that he found again the water is leaking inside but he is not getting the resolution he visited 4 times for the same issue & he spoke to dealer previous month also but issue not resolved so guest want to try other dealer also but before that guest wants to try once again at the dealer & want complete resolution, so kindly do the needful. Cli: 7355044166 (Tkmgec Animesh)
 *Call recording attached "	Unsatisfied
61	*Call recording attached  issue to be resolved at the earliest, so kindly do the needful ASAP. CLI- 8888823525 (Uddipta TKM GEC)	Unsatisfied
62	**Nearest Coding Selected  Dealership informed him that as his vehicle is out of warranty he needs to pay for the repair of the vehicle, Guest said that as it is a manufacturing defect and he needs it under FOC. Guest said he also wants to know that if there is any possibilities that he can extend his vehicle warranty by paying certain charges for his vehicle. Guest said he is very much disappointed and needs his vehicle repaired on this concern ASAP. Kindly assist the guest. Cli:7000405259 [Gagan/TKMGEC]	Frustrated
63	"with fewi quick and there was some tempering mark. Guest also stated that the vehicle was driven only 7500 km. Guest inform it to the dealer , then dealer told that they will see tomorrow, guest did not get satisfactory response. Kindly do the needful. CLI. 9999968800 [ Nitisha /TKM GEC]  
 On 2nd oct , Mr.Sunny Agrawal called and stated that on 26 sep he gave his vehicle B&P servicing , there was some issue in the petrol tank . Guest got his vehicle on 1 oct after servicing, guest noticed that the  right front window switch assembly controls for power windows and mirrors was changed by the dealer due to which left  window switch was not working , and guest stated that dealer stick the  rotating mirror  nob "	Unsatisfied
64	"**WRT TCM0824240965 **On 02/09/2024 Mr Sailesh called and stated that he is not getting any solution from last month, he wants the zonal contact details , guest is very disappointed he received the pre owned accidental vehicle while he paid for the new vehicle, paint is fading from the vehicle and he is not getting any response for that also,  guest stated that he is very much disappointed with Toyota, guest stated he will wait for more 48 hours and he wants the resolution for that he cant bring his vehicle to dealer, guest will be their at Lonavla till 4th if  dealer concern person want to meet guest personally but he wants the solution. Kindly do the needful. Cli: 9822268152 (Tkmgec Animesh)
"	Frustrated
65	"Guest stated that in his family health isues are there so he need new vehicle at the earliest. Guest wants this should be resolved on priority basis. Guest is very much disappointed & waiting for positive response. Kindly look into this & do the needful. CLI : 9896439790 (Saloni TKMGEC) 
 he is requesting an immediate replacement of this faulty vehicle with a new, properly inspected Toyota Innova Hycross. Moreover guest stated that the wiper water is also empty in his vehicle. He have documented the entire issue with photos and videos, which he are ready to share upon request. Guest stated that he purchased this vehicle on loan & without having the vehicle he is paying the EMI."	Frustrated
66	On 02nd Oct 24 Mr. Shaid called and stated that, He booked Innova Hycross Vx [o] 8S Vehicle on 28 Sep 2023 and he paid booking amount of 50000/Rs. Dealership said that they will delivery the vehicle within 1 year but still he not get the vehicle. Guest said now dealership is telling that take the another color or another variant. Guests said now 13 month over  and he wants which color booking he have made. Guest said he wants his vehicle to be delivery ASAP. Kindly do need fully. CLI:9422024059/9423013327  [Indharjeeth TKM-GEC]    	Unsatisfied
67	On 27th Sept guest's driver went to the dealership to receive the vehicle and that time he found that the front sensor was giving warning which was not happening before the service. Guest is highly disappointed and he doubts that someone might have tampered with the wiring which caused the warning. On 2nd Oct, 24 we received an email from  Dr. Amandeep Singh Grover, stated that he has given his vehicle to the dealership on 2nd Sept for B&P works( Front Bumper repair). Initially there was a delay for the delivery and dealership mentioned that due to not approval of Insurance and delay in parts it was taking a long time to deliver the vehicle. 	Highly Frustrated
68	**DCM SS Guest said he didn't take claim of Insurance and he is paying for the complete amount for the vehicle, But also the same result for the vehicle repair. Guest said he is very much disappointed and needs his vehicle repaired on this concern ASAP. Kindly assist the guest. Cli:7240814081 [Gagan/TKMGEC]	Frustrated
69	DCM SST** warranty, I have informed the guest because of External object Tyre would be not possible to replace under Warranty, and i have educate the guest related to Wear and Tear related policy, Guest not satisfy with the response, He said he was told from Sales person that his full vehicle will be cover under warranty and now the sales person denied on his statement, Guest stated if they will not replace the tire then he will go to consumer forum, 	Frustrated
70	On 2nd Oct we received an email addressed to Vikram San from Mr. Ishtpal Singh Ahluwalia stated that the incident has proven to be a nightmare for his family to purchase brand new Vellfire executive lounge on his company name Sunder Jewelers from Budha Motors, Patna. Guest stated that dealer is categorically focused on retailing car as the way they want and least bother about after sales or buyer's grievance. Guest stated that he was settling down with the bitter experience he had with his dealership since booking, there was an additional error traced by the RTO person immediately after temporary registration of the vehicle that dealer has documented incorrect sale amount i.e. 1.32 cr in the vahan portal/ temp number which has to be 92.65 lacs. With this action at their end, the road tax amount differ a lot with actual of Rs. 12.97 lacs. 	Frustrated
71	On 02-Oct-24 we received a mail from Mr.Kuntal Das stated that he have booked the car on 20th August. It is more than 40 days waiting. Need an update asap since it is not acceptable. Please consider this seriously. guest is really frustrtaed as he is not getting any response from dealership , guest also mentioned that he got a delivery commitment of 1week in written ,but still there is no response and waiting for a prompt response , cli:9830447245 [TKM CAC RAVI] 	Frustrated
72	"*** Guest is non-contactable, hence we have registered the complaint based on the concern shared on an e-mail. Attached e-mail for reference *** 
 On 2nd Oct, 24 we received an email from Mr. Praveen Aggarwal, stated that he has given for service but the repair job has been done of the windshield and at the time of giving the vehicle's AC was working but after service the AC is not working anymore. Guest wants the repair should be done at the earliest and his AC should be repaired as it was. Guest is highly disappointed and wants solution at the earliest.  CLI:-  (Sudipta TKM GEC)"	Highly Frustrated
73	*Call recording attached  DCM SST***	Frustrated
74	On 02nd Oct 24 Mr. Satish called and stated that, He Owns Innova Hycross vehicle and Guest said in his vehicle Front Bothe Tire is getting wear out and he contact with dealership and they submit the reports to Goodwill company and they rejected the claim and dealership said that get in the Insurance and 1 tire is get on claim. Guest said when they said that we can't claim  it they not said anything that why its rejected and he ask in the written. Guest said he is very disappointed with that and he wants his issue should get solve ASAP. Kindly do need fully. CLI:9754250000  [Indharjeeth TKM-GEC] 	Frustrated
