Review,Sentiment,Cause
"On 31st Dec, Mr. Vinay stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Vinay stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Ms. Neeru Joshi stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Vinay stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Neeru Joshi stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Dec, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Ms. Neeru Joshi stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Athul stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Vinay stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Athul stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Ms. Anjali stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Neeru Joshi stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 1st Jan, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Sharma stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 24th Nov, Mr. Raj stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Neeru Joshi stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Vinay stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Anjali stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Neeru Joshi stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Gaurav stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Sharma stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Raj stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Vinay stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Athul stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 10th April, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Athul stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Priya stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Vinay stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Raj stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Mr. Athul stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Raj stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Sharma stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Oct, Mr. Vinay stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Oct, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Neeru Joshi stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 10th April, Ms. Priya stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Gaurav stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Gaurav stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 24th Nov, Ms. Anjali stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Ms. Neeru Joshi stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Athul stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Priya stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Ms. Priya stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Ms. Anjali stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Athul stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Raj stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Anjali stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Anjali stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Athul stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Raj stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Oct, Mr. Sharma stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Anjali stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Raj stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Neeru Joshi stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Vinay stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Sharma stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Dec, Mr. Athul stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Priya stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 24th Nov, Mr. Vinay stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Athul stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Athul stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Vinay stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Ms. Priya stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 15th Feb, Mr. Athul stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Ms. Neeru Joshi stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Raj stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Oct, Mr. Sharma stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 10th April, Ms. Anjali stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Athul stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Sharma stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Gaurav stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Athul stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Raj stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Neeru Joshi stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Gaurav stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Dec, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Athul stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Dec, Ms. Anjali stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Anjali stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Raj stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Ms. Neeru Joshi stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Athul stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 5th June, Ms. Neeru Joshi stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Neeru Joshi stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Neeru Joshi stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Athul stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Vinay stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 24th Nov, Mr. Raj stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Raj stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Sharma stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Vinay stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Ms. Priya stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Athul stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Ms. Priya stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Gaurav stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Sharma stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Mr. Sharma stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Mr. Gaurav stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Mr. Vinay stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 25th May, Mr. Vinay stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Athul stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Raj stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 10th April, Mr. Athul stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Mr. Vinay stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Neeru Joshi stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Gaurav stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Athul stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Raj stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Sharma stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Priya stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 10th April, Mr. Vinay stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 15th Feb, Mr. Athul stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Priya stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 5th June, Ms. Priya stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 25th May, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Gaurav stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Dec, Mr. Sharma stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Vinay stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 12th July, Mr. Vinay stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 24th Nov, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Ms. Priya stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Anjali stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 12th July, Mr. Vinay stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Sharma stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Gaurav stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
